time="2020-05-26T13:49:19-04:00" level=info msg="Starting to link FHIR endpoints to npi organizations"
Resulting Token Counts:
Name: INC       Value: 6330
Name: CENTER       Value: 3436
Name: HEALTH       Value: 2795
Name: OF       Value: 2604
Name: CARE       Value: 2288
Name: MEDICAL       Value: 2257
Name: LLC       Value: 2165
Name: HOME       Value: 1620
Name: HOSPITAL       Value: 1513
Name: COUNTY       Value: 1178
Name: SERVICES       Value: 1126
Name: ASSOCIATES       Value: 992
Name: PHARMACY       Value: 981
Name: AND       Value: 961
Name: PC       Value: 931
Name: PA       Value: 777
Name: MD       Value: 717
Name: NURSING       Value: 708
Name: REHABILITATION       Value: 660
Name: CLINIC       Value: 618
Name: HEALTHCARE       Value: 595
Name: COMMUNITY       Value: 542
Name: THE       Value: 536
Name: FAMILY       Value: 496
Name: SURGERY       Value: 478
Name: GROUP       Value: 476
Name: HOSPICE       Value: 474
Name: THERAPY       Value: 426
Name: CITY       Value: 397
Name: AMBULANCE       Value: 387
Name: MEMORIAL       Value: 380
Name: VALLEY       Value: 364
Name: ST       Value: 354
Name: PHYSICAL       Value: 342
Name: MEDICINE       Value: 330
Name: SERVICE       Value: 319
Name: A       Value: 305
Name: DISTRICT       Value: 303
Name: EYE       Value: 303
Name: FIRE       Value: 297
Name: REGIONAL       Value: 296
Name: REHAB       Value: 282
Name: CORPORATION       Value: 268
Name: LTD       Value: 252
Name: FOR       Value: 252
Name: DRUG       Value: 249
Name: IMAGING       Value: 247
Name: AT       Value: 244
Name: SURGICAL       Value: 243
Name: MANOR       Value: 231
Name: PHYSICIANS       Value: 230
Name: DEPARTMENT       Value: 227
Name: WEST       Value: 214
Name: LP       Value: 208
Name: EQUIPMENT       Value: 205
Name: SUPPLY       Value: 194
Name: ASSOCIATION       Value: 194
Name: NORTH       Value: 191
Name: UNIVERSITY       Value: 191
Name: SOUTH       Value: 188
Name: SYSTEM       Value: 183
Name: EAST       Value: 180
Name: PLLC       Value: 178
Name: EMERGENCY       Value: 175
Name: NEW       Value: 174
Name: COMPANY       Value: 171
Name: CENTRAL       Value: 166
Name: SPECIALISTS       Value: 164
Name: SPECIALTY       Value: 162
Name: INSTITUTE       Value: 152
Name: ADVANCED       Value: 146
Name: DR       Value: 144
Name: MRI       Value: 143
Name: TEXAS       Value: 141
Name: PROSTHETICS       Value: 139
Name: DIAGNOSTIC       Value: 138
Name: CONSULTANTS       Value: 138
Name: VILLAGE       Value: 137
Name: CORP       Value: 132
Name: CENTERS       Value: 131
Name: PARK       Value: 130
Name: ANESTHESIA       Value: 129
Name: FOOT       Value: 129
Name: DPM       Value: 128
Name: EMS       Value: 126
Name: ORTHOTICS       Value: 125
Name: PROFESSIONAL       Value: 125
Name: LLP       Value: 120
Name: HOMECARE       Value: 116
Name: RADIOLOGY       Value: 116
Name: ONCOLOGY       Value: 115
Name: DENTAL       Value: 115
Name: C       Value: 113
Name: CHIROPRACTIC       Value: 113
Name: CO       Value: 113
Name: FLORIDA       Value: 112
Name: P       Value: 112
Name: MANAGEMENT       Value: 111
Name: OPERATING       Value: 109
Name: OUTPATIENT       Value: 109
Name: DDS       Value: 109
Name: M       Value: 109
Name: ORTHOPEDIC       Value: 108
Name: PRACTICE       Value: 107
Name: J       Value: 107
Name: SELECT       Value: 107
Name: NETWORK       Value: 102
Name: AMERICAN       Value: 101
Name: RIVER       Value: 101
Name: LAKE       Value: 98
Name: SYSTEMS       Value: 97
Name: SENIOR       Value: 96
Name: SPORTS       Value: 96
Name: NORTHERN       Value: 95
Name: ASSOC       Value: 95
Name: PEDIATRIC       Value: 94
Name: L       Value: 94
Name: SC       Value: 93
Name: IN       Value: 93
Name: VISITING       Value: 92
Name: DERMATOLOGY       Value: 91
Name: MOUNTAIN       Value: 90
Name: AGENCY       Value: 90
Name: VOLUNTEER       Value: 89
Name: OPEN       Value: 88
Name: NORTHWEST       Value: 88
Name: PEDIATRICS       Value: 88
Name: DRUGS       Value: 87
Name: LIVING       Value: 87
Name: GENERAL       Value: 87
Name: NOVACARE       Value: 86
Name: ENTERPRISES       Value: 86
Name: HEART       Value: 85
Name: PSC       Value: 85
Name: MED       Value: 84
Name: SAN       Value: 84
Name: STATE       Value: 83
Name: HOUSE       Value: 83
Name: CARDIOLOGY       Value: 81
Name: NURSE       Value: 81
Name: WOMENS       Value: 80
Name: CONVALESCENT       Value: 80
Name: AMERICA       Value: 80
Name: SOUTHERN       Value: 79
Name: SUPPLIES       Value: 79
Name: CALIFORNIA       Value: 79
Name: ORTHOPAEDIC       Value: 79
Name: ODYSSEY       Value: 78
Name: INTERNAL       Value: 78
Name: R       Value: 78
Name: LIFE       Value: 77
Name: AMBULATORY       Value: 77
Name: B       Value: 76
Name: PUBLIC       Value: 76
Name: PAIN       Value: 76
Name: D       Value: 75
Name: BAY       Value: 75
Name: PATHOLOGY       Value: 73
Name: VIEW       Value: 73
Name: S       Value: 73
Name: ANKLE       Value: 72
Name: COAST       Value: 72
Name: LUTHERAN       Value: 72
Name: DIALYSIS       Value: 71
Name: SURGEONS       Value: 71
Name: CHILDRENS       Value: 70
Name: DBA       Value: 70
Name: SOLUTIONS       Value: 70
Name: HILL       Value: 69
Name: E       Value: 68
Name: AREA       Value: 68
Name: STORE       Value: 68
Name: ONE       Value: 67
Name: MERCY       Value: 67
Name: OHIO       Value: 67
Name: RESCUE       Value: 66
Name: JOHN       Value: 66
Name: PARTNERS       Value: 66
Name: NORTHEAST       Value: 65
Name: BIOSCRIP       Value: 64
Name: FIRST       Value: 64
Name: ENDOSCOPY       Value: 63
Name: RURAL       Value: 63
Name: HOMES       Value: 63
Name: INCORPORATED       Value: 63
Name: HILLS       Value: 62
Name: SAINT       Value: 62
Name: FOUNDATION       Value: 60
Name: WELLNESS       Value: 60
Name: JOSEPH       Value: 59
Name: RADIATION       Value: 58
Name: SPRINGS       Value: 58
Name: UNITED       Value: 58
Name: TOWN       Value: 57
Name: PULMONARY       Value: 56
Name: CAROLINA       Value: 56
Name: MARYS       Value: 56
Name: PALM       Value: 56
Name: GASTROENTEROLOGY       Value: 56
Name: RETIREMENT       Value: 55
Name: SLEEP       Value: 55
Name: HORIZON       Value: 55
Name: RIDGE       Value: 55
Name: PROSTHETIC       Value: 55
Name: LABORATORY       Value: 55
Name: BEHAVIORAL       Value: 54
Name: COUNTRY       Value: 54
Name: DAVID       Value: 54
Name: RESPIRATORY       Value: 54
Name: DO       Value: 53
Name: BOARD       Value: 53
Name: LA       Value: 53
Name: COUNSELING       Value: 53
Name: MICHAEL       Value: 52
Name: OAKS       Value: 52
Name: CANCER       Value: 52
Name: FACILITY       Value: 52
Name: LABORATORIES       Value: 52
Name: ORTHOTIC       Value: 52
Name: PRIMARY       Value: 52
Name: ALLERGY       Value: 51
Name: II       Value: 51
Name: MOBILITY       Value: 51
Name: UROLOGY       Value: 51
Name: INFUSION       Value: 51
Name: BEACH       Value: 51
Name: AUTHORITY       Value: 51
Name: STREET       Value: 51
Name: WASHINGTON       Value: 50
Name: PROVIDENCE       Value: 50
Name: PHYSICIAN       Value: 50
Name: EASTERN       Value: 49
Name: H       Value: 49
Name: JACKSON       Value: 49
Name: SOUTHWEST       Value: 49
Name: HAVEN       Value: 49
Name: MENTAL       Value: 49
Name: HERITAGE       Value: 48
Name: W       Value: 48
Name: VISION       Value: 48
Name: HOSPITALS       Value: 48
Name: DE       Value: 48
Name: SKILLED       Value: 48
Name: CLINICAL       Value: 48
Name: ON       Value: 47
Name: KENTUCKY       Value: 47
Name: KINDRED       Value: 47
Name: SPINE       Value: 47
Name: IOWA       Value: 47
Name: MEDI       Value: 47
Name: JAMES       Value: 47
Name: WESTERN       Value: 46
Name: G       Value: 46
Name: NEPHROLOGY       Value: 46
Name: SHORE       Value: 46
Name: HEMATOLOGY       Value: 46
Name: JERSEY       Value: 45
Name: K       Value: 45
Name: JR       Value: 45
Name: VILLA       Value: 45
Name: PRESCRIPTION       Value: 44
Name: NO       Value: 44
Name: SQUAD       Value: 44
Name: QUALITY       Value: 43
Name: GOOD       Value: 43
